Phylum,Class,Order,Family,Genus,Species,TSN,ED_mean,ED_sd,n_species,n_tests,n_replicates
---,---,---,Achatinidae,Archachatina,marginata,NA,4.48,0,1,1,1
---,---,---,Helicidae,---,---,77903,2.8,0,1,1,1
---,Polyplacophora,Chitonida,Acanthochitonidae,Cryptochiton,stelleri,79032,3.66,0.260215295,1,1,3
---,Bivalvia,---,---,---,---,79118,2.462480274,0.349464709,111,167,1166
---,---,Carditida,---,---,---,1204614,2.3,0.138144868,5,8,55
---,---,---,Carditidae,---,---,80732,0.840555556,0.052915026,2,2,18
---,---,---,---,Cyclocardia,borealis,80744,1.3,0.086409876,1,1,8
---,---,---,---,Venericardia,borealis,80764,0.473,0,1,1,10
---,---,---,Astartidae,Astarte,---,80797,3.01,0.166188554,3,6,37
---,---,---,---,---,undata,80811,3.799583333,0.202938414,1,2,24
---,---,---,---,---,borealis,80831,1.658666667,0.093046965,1,2,9
---,---,---,---,---,montagui,80837,1.313,0.000196,1,2,4
---,---,Lucinida,Thyasiridae,Thyasira,---,80508,2.59,0,2,2,2
---,---,---,---,---,flexuosa,80512,1.42,0,1,1,1
---,---,---,---,---,gouldii,80548,3.76,0,1,1,1
---,---,Myida,---,---,---,1204616,3.024782609,0.094753072,3,6,23
---,---,---,Myidae,Mya,---,81691,2.30625,0.085175893,2,4,16
---,---,---,---,---,arenaria,81692,2.07,0.09759918,1,2,7
---,---,---,---,---,truncata,81694,2.49,0.087783059,1,2,9
---,---,---,Teredinidae,Teredo,navalis,81862,4.667142857,0.131887816,1,2,7
---,---,Unionida,---,---,---,1204619,2.957058824,0,3,3,17
---,---,---,Unionidae,---,---,79913,2.8675,0,2,2,16
---,---,---,---,Unio,bivae,NA,3.14,0,1,1,12
---,---,---,---,Sinohyriopsis,schlegelii,1216758,2.05,0,1,1,4
---,---,---,Etheriidae,Etheria,elliptica,983958,4.39,0,1,1,1
---,---,Arcida,---,---,---,1204620,1.807285714,0.069082065,4,5,14
---,---,---,Arcidae,Anadara,---,79337,0.976888889,0.017549847,2,3,9
---,---,---,---,---,transversa,79340,0.764,0.018956002,1,2,8
---,---,---,---,---,baughmani,79351,2.68,0,1,1,1
---,---,---,Anomiidae,---,---,79790,3.302,0.135538432,2,2,5
---,---,---,---,Pododesmus,macrochisma,79792,4.71,0.234759451,1,1,3
---,---,---,---,Anomia,simplex,79798,1.19,0,1,1,2
---,---,Mytilida,Mytilidae,---,---,79451,2.838870968,0.213034223,13,22,124
---,---,---,---,Aulacomya,atra,NA,4.14,0,1,1,3
---,---,---,---,Perumytilus,purpuratus,NA,3.6,0,1,1,3
---,---,---,---,Mytilus,---,79452,2.920535714,0.309551288,5,11,56
---,---,---,---,---,crassitesta,NA,3.01,0,1,1,2
---,---,---,---,---,mundahuensis,NA,2.89,0,1,1,1
---,---,---,---,---,edulis,79454,2.682758621,0.020184327,1,5,29
---,---,---,---,---,galloprovincialis,79456,2.76,0,1,1,4
---,---,---,---,---,trossulus,567928,3.29,0.535588358,1,3,20
---,---,---,---,Musculus,---,79472,2.268636364,0.023590727,2,4,22
---,---,---,---,---,niger,79473,2.07,0.008127976,1,2,9
---,---,---,---,---,discors,79475,2.406153846,0.031141904,1,2,13
---,---,---,---,Modiolus,---,79500,2.96875,0.105766776,2,3,32
---,---,---,---,---,modiolus,79501,4.3,0.166339011,1,1,8
---,---,---,---,---,demissus,79504,2.525,0.08779789,1,2,24
---,---,---,---,Ischadium,recurvum,79561,2.58,0.062609903,1,1,6
---,---,Ostreida,Ostreidae,---,---,79866,2.298923077,0.058613575,8,13,78
---,---,---,---,Crassostrea,---,79867,2.012148148,0.070860357,4,8,54
---,---,---,---,---,gigas,79868,2.2053125,0.090551991,1,3,32
---,---,---,---,---,virginica,79872,1.6093,0.028975085,1,3,20
---,---,---,---,---,angulata,79875,3.18,0,1,1,1
---,---,---,---,---,rhizophorae,79881,2.72,0,1,1,1
---,---,---,---,Ostrea,---,79882,3.21,0,2,3,7
---,---,---,---,---,lurida,79883,3.43,0,1,1,3
---,---,---,---,---,edulis,79885,3.045,0,1,2,4
---,---,---,---,Saccostrea,malabonensis,NA,2.72,0,1,1,2
---,---,Pectinida,Pectinidae,---,---,79611,2.920071429,0.08762377,7,10,28
---,---,---,---,Chlamys,---,79612,3.471583333,0.129640644,2,4,12
---,---,---,---,---,rubida,79617,4.48,0.257196423,1,1,4
---,---,---,---,---,islandica,79619,2.967375,0.077208554,1,3,8
---,---,---,---,Delectopecten,greenlandicus,79694,2.13075,0.00616,1,2,4
---,---,---,---,Placopecten,magellanicus,79718,3,0.101613647,1,1,5
---,---,---,---,Argopecten,irradians,79737,1.53,0.015431785,1,1,4
---,---,---,---,Crassadoma,gigantea,567420,3.55,0,1,1,2
---,---,Pteriida,Pinnidae,Atrina,serrata,79581,1.91,0.091243493,1,1,4
---,---,Venerida,---,---,---,1204626,2.223006826,0.390580864,27,44,586
---,---,---,Cyrenoididae,---,---,80603,2.89,0,2,2,2
---,---,---,---,Geloina,oviformis,NA,3.1,0,1,1,1
---,---,---,Mactridae,Spisula,solidissima,80944,3.08,0.055626304,1,2,23
---,---,---,Mesodesmatidae,Mesodesma,globrata,NA,2.01,0,1,1,1
---,---,---,Arcticidae,Arctica,islandica,81343,1.572914754,0.023600638,1,2,305
---,---,---,Veneridae,---,---,81439,2.844645022,0.622915543,15,30,231
---,---,---,---,Leukoma,---,NA,2.831044776,0.937051259,2,5,67
---,---,---,---,---,staminea,NA,2.831044776,0.937051259,1,5,67
---,---,---,---,Meretrix,---,NA,3.088333333,0,3,3,6
---,---,---,---,---,casta,NA,3.64,0,1,1,1
---,---,---,---,---,lusoria,NA,2.51,0,1,1,3
---,---,---,---,---,meretrix,NA,3.68,0,1,1,2
---,---,---,---,Chione,cancellata,81523,1.442,0.056369933,1,5,21
---,---,---,---,Saxidomus,---,81446,3.280588235,0.691271928,2,6,68
---,---,---,---,---,nuttalli,81448,3.31,0,1,1,1
---,---,---,---,---,gigantea,568268,3.280149254,0.696569109,1,5,67
---,---,---,---,Tapes,pullastra,81478,3.43,0,1,1,2
---,---,---,---,Mercenaria,mercenaria,81496,1.867666667,0.098485233,1,4,21
---,---,---,---,Venus,---,81587,3.263,0,2,2,30
---,---,---,---,---,gallina,81588,3.26,0,1,1,29
---,---,---,---,---,verrucosa,81594,3.35,0,1,1,1
---,---,---,---,Venerupis,---,205646,3.223125,0,3,4,16
---,---,---,---,---,philippinarum,81477,2.81,0,1,2,5
---,---,---,---,---,aurea,81481,2.38,0,1,1,2
---,---,---,---,---,decussata,81485,3.64,0,1,1,9
---,---,---,Cyrenidae,---,---,1204699,3.653043478,0,6,6,23
---,---,---,---,Corbicula,---,81385,3.586,0,5,5,20
---,---,---,---,---,japonica,NA,3.39,0,1,1,1
---,---,---,---,---,leana,NA,3.01,0,1,1,3
---,---,---,---,---,sandai,NA,3.68,0,1,1,12
---,---,---,---,---,strata,NA,4.31,0,1,1,2
---,---,---,---,---,fluminea,81387,3.26,0,1,1,2
---,---,---,Hemidonacidae,Hemidonax,donaciformis,NA,3.18,0,1,1,1
---,---,Nuculida,Nuculidae,---,---,79123,2.81125,0.128613115,2,3,8
---,---,---,---,Nucula,proxima,79132,2.671428571,0.140888608,1,2,7
---,---,---,---,Ennucula,tenuis,567536,3.79,0,1,1,1
---,---,Nuculanida,---,---,---,1204628,2.366857143,0.079719979,7,10,35
---,---,---,Nuculanidae,Nuculana,---,79188,2.486428571,0.057994087,3,5,14
---,---,---,---,---,pernula,79192,2.822,0.030469274,1,2,5
---,---,---,---,---,minuta,79193,2.355,0.07913558,1,2,8
---,---,---,Yoldiidae,---,---,566928,2.287142857,0.09441351,4,5,21
---,---,---,---,Portlandia,intermedia,79247,3.78,0.332340187,1,1,3
---,---,---,---,Yoldia,---,79258,2.366666667,0.091651514,2,3,9
---,---,---,---,---,hyperborea,79261,3.62,0,1,1,1
---,---,---,---,---,sapotilla,79274,2.21,0.098994949,1,2,8
---,---,---,---,Yoldiella,intermedia,79281,1.71,0.00404099,1,1,9
---,---,Solemyida,Solemyidae,Solemya,grandis,79320,5.76,0.480832611,1,1,3
---,---,Pandorida,---,---,---,1204634,3.225,0,2,2,2
---,---,---,Pandoridae,Pandora,glacialis,81890,3.63,0,1,1,1
---,---,---,Lyonsiidae,Entodesma,navicula,567538,2.82,0,1,1,1
---,---,Thraciida,Periplomatidae,Periploma,---,81941,2.04,0.052,2,2,3
---,---,---,---,---,leanum,81944,0.3,0,1,1,2
---,---,---,---,---,abyssorum,81949,5.52,0,1,1,1
---,---,Solenida,---,---,---,1204637,3.040558824,0.075121169,8,9,34
---,---,---,Solenidae,---,---,81006,3.01,0,1,1,5
---,---,---,Hiatellidae,---,---,81760,2.356411765,0.109545753,3,4,17
---,---,---,---,Hiatella,arctica,81765,1.949153846,0.126975956,1,2,13
---,---,---,---,Panopea,---,81776,3.68,0.036415999,2,2,4
---,---,---,---,---,generosa,81777,3.56,0,1,1,2
---,---,---,---,---,abrupta,81779,3.8,0,1,1,2
---,---,---,Pharidae,---,---,566908,4.0225,0.007602631,4,4,12
---,---,---,---,Siliqua,alta,81009,4.78,0,1,1,7
---,---,---,---,Ensis,---,81021,2.962,0.013880442,3,3,5
---,---,---,---,---,directus,81022,2.9,0.024041631,1,1,3
---,---,---,---,---,ensis,81024,3.14,0,1,1,1
---,---,---,---,---,siliqua,81026,2.97,0,1,1,1
---,---,Cardiida,Cardiidae,---,---,80865,2.528102941,0.761151437,6,11,68
---,---,---,---,Fulvia,mutica,NA,3.35,0,1,1,1
---,---,---,---,Clinocardium,---,80866,2.546189655,0.826046093,3,7,58
---,---,---,---,---,ciliatum,80867,1.601461538,0.063473146,1,2,13
---,---,---,---,---,nuttallii,80873,2.819111111,0.942132699,1,5,45
---,---,---,---,Serripes,groenlandicus,80879,1.8644,0.092158203,1,2,5
---,---,---,---,Cerastoderma,edule,80901,2.89,0,1,1,4
---,---,Sphaeriida,---,---,---,1204640,2.475294118,0.104235558,9,11,34
---,---,---,Tellinidae,---,---,81032,2.131428571,0.043502359,6,8,21
---,---,---,---,Macoma,---,81033,2.14,0.045990184,4,6,19
---,---,---,---,---,calcarea,81035,3.81,0,1,1,2
---,---,---,---,---,moesta,81041,4.04,0,1,1,2
---,---,---,---,---,tenta,81055,1.645,0.021353337,1,2,8
---,---,---,---,---,balthica,567846,1.685714286,0.051655823,1,2,7
---,---,---,---,Tellina,tenuis,81122,2.01,0,1,1,1
---,---,---,Donacidae,Donax,radians,NA,3.1,0,1,1,1
---,---,---,Solecurtidae,Tagelus,---,81271,3.025,0.176557356,2,2,12
---,---,---,---,---,plebeius,81272,3.78,0.116275535,1,1,6
---,---,---,---,---,divisus,81274,2.27,0.253793715,1,1,6
---,Scaphopoda,Dentaliida,Dentaliidae,Antalis,entale,82152,2.2475,0,1,2,2
---,Cephalopoda,---,---,---,---,82326,4.719046272,0.388000724,55,92,1199
---,---,Sepiida,Sepiidae,Sepia,officinalis,82363,3.8,0,1,1,10
